20482087     father: 20480974      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 82], ['left', 18]], 24: [['left', 100]], 31: [['right', 21], ['down', 79]], 32: [['up', 23], ['right', 4], ['down', 73]], 34: [['up', 3], ['down', 97]], 41: [['up', 5], ['left', 55], ['down', 40]], 42: [['left', 96], ['down', 4]], 43: [['up', 3], ['down', 97]]}
20482088     father: 20481597      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 62], ['right', 38]], 21: [['down', 100]], 23: [['down', 74], ['left', 26]], 24: [['left', 100]], 31: [['right', 75], ['down', 25]], 32: [['up', 12], ['right', 8], ['down', 80]], 34: [['up', 2], ['down', 98]], 41: [['up', 45], ['left', 52], ['down', 3]], 42: [['left', 81], ['down', 19]], 43: [['up', 0], ['down', 100]]}
20482089     father: 20481597      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 62], ['right', 38]], 21: [['down', 100]], 23: [['down', 74], ['left', 26]], 24: [['left', 100]], 31: [['right', 75], ['down', 25]], 32: [['up', 12], ['right', 8], ['down', 80]], 34: [['up', 2], ['down', 98]], 41: [['up', 45], ['left', 52], ['down', 3]], 42: [['left', 81], ['down', 19]], 43: [['up', 0], ['down', 100]]}
20482090     father: 20480860      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 89], ['right', 11]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 42], ['left', 27], ['down', 31]], 42: [['left', 19], ['down', 81]], 43: [['up', 0], ['down', 100]]}
20482091     father: 20480860      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 89], ['right', 11]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 42], ['left', 27], ['down', 31]], 42: [['left', 19], ['down', 81]], 43: [['up', 0], ['down', 100]]}
20482092     father: 20481717      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 100], ['right', 0]], 21: [['down', 100]], 23: [['down', 90], ['left', 10]], 24: [['left', 100]], 31: [['right', 2], ['down', 98]], 32: [['up', 5], ['right', 14], ['down', 81]], 34: [['up', 15], ['down', 85]], 41: [['up', 22], ['left', 64], ['down', 14]], 42: [['left', 9], ['down', 91]], 43: [['up', 0], ['down', 100]]}
20482093     father: 20481717      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 100], ['right', 0]], 21: [['down', 100]], 23: [['down', 90], ['left', 10]], 24: [['left', 100]], 31: [['right', 2], ['down', 98]], 32: [['up', 5], ['right', 14], ['down', 81]], 34: [['up', 15], ['down', 85]], 41: [['up', 22], ['left', 64], ['down', 14]], 42: [['left', 9], ['down', 91]], 43: [['up', 0], ['down', 100]]}
20482094     father: 20481726      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 0], ['right', 18], ['down', 82]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 66], ['down', 31]], 42: [['left', 74], ['down', 26]], 43: [['up', 0], ['down', 100]]}
20482095     father: 20481726      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 0], ['right', 18], ['down', 82]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 66], ['down', 31]], 42: [['left', 74], ['down', 26]], 43: [['up', 0], ['down', 100]]}
20482096     father: 20481893      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 0], ['right', 18], ['down', 82]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 66], ['down', 31]], 42: [['left', 86], ['down', 14]], 43: [['up', 0], ['down', 100]]}
